"Date","Value"
"11/30/2001",9851.56
"12/31/2001",10021.57
"01/31/2002",9920
"02/28/2002",10106.13
"03/28/2002",10403.94
"04/30/2002",9946.22
"05/31/2002",9925.25
"06/28/2002",9243.26
"07/31/2002",8736.59
"08/30/2002",8663.5
"09/30/2002",7591.93
"10/31/2002",8397.03
"11/29/2002",8896.09
"12/31/2002",8341.63
"01/31/2003",8053.81
"02/28/2003",7891.08
"03/31/2003",7992.13
"04/30/2003",8480.09
"05/30/2003",8850.26
"06/30/2003",8985.44
"07/31/2003",9233.8
"08/29/2003",9415.82
"09/30/2003",9275.06
"10/31/2003",9801.12
"11/28/2003",9782.46
"12/31/2003",10453.92
"01/30/2004",10488.07
"02/27/2004",10583.92
"03/31/2004",10357.7
"04/30/2004",10225.57
"05/28/2004",10188.45
"06/30/2004",10435.48
"07/30/2004",10139.71
"08/31/2004",10173.92
"09/30/2004",10080.27
"10/29/2004",10027.47
"11/30/2004",10428.02
"12/31/2004",10783.01
"01/31/2005",10489.94
"02/28/2005",10766.23
"03/31/2005",10503.76
"04/29/2005",10192.51
"05/31/2005",10467.48
"06/30/2005",10274.97
"07/29/2005",10640.91
"08/31/2005",10481.6
"09/30/2005",10568.7
"10/31/2005",10440.07
"11/30/2005",10805.87
"12/30/2005",10717.5
"01/31/2006",10864.86
"02/28/2006",10993.41
"03/31/2006",11109.32
"04/28/2006",11367.14
"05/31/2006",11168.31
"06/30/2006",11150.22
"07/31/2006",11185.68
"08/31/2006",11381.15
"09/29/2006",11679.07
"10/31/2006",12080.73
"11/30/2006",12221.93
"12/29/2006",12463.15
"01/31/2007",12621.69
"02/28/2007",12268.63
"03/30/2007",12354.35
"04/30/2007",13062.91
"05/31/2007",13627.64
"06/29/2007",13408.62
"07/31/2007",13211.99
"08/31/2007",13357.74
"09/28/2007",13895.63
"10/31/2007",13930.01
"11/30/2007",13371.72
"12/31/2007",13264.82
"01/31/2008",12650.36
"02/29/2008",12266.39
"03/31/2008",12262.89
"04/30/2008",12820.13
"05/30/2008",12638.32
"06/30/2008",11350.01
"07/31/2008",11378.02
"08/29/2008",11543.96
"09/30/2008",10850.66
"10/31/2008",9325.01
"11/28/2008",8829.04
"12/31/2008",8776.39
"01/30/2009",8000.86
"02/27/2009",7062.93
"03/31/2009",7608.92
"04/30/2009",8168.12
"05/29/2009",8500.33
"06/30/2009",8447
"07/31/2009",9171.61
"08/31/2009",9496.28
"09/30/2009",9712.28
